TEST,DATE,Q1,Q2,Q3,Q4,Q5,Q6,Q6 B,Q6 C,Q7,Q8,Q9
pre,01/10/14,AS,3,faux,faux,faux,juste,faux,faux,faux,faux,faux
pre,01/10/14,IDE,0,juste,juste,faux,juste,juste,faux,faux,juste,juste
pre,01/10/14,IDE,2,juste,faux,juste,juste,juste,faux,faux,juste,juste
pre,01/10/14,IDE,2,juste,juste,juste,juste,juste,faux,faux,juste,juste
pre,01/10/14,AS,2,juste,juste,juste,juste,faux,faux,faux,faux,faux
pre,01/10/14,IDE,0,juste,juste,juste,juste,juste,faux,faux,juste,faux
pre,01/10/14,IDE,3,juste,juste,juste,juste,juste,faux,faux,faux,juste
pre,01/10/14,IDE,2,faux,juste,juste,juste,juste,faux,faux,juste,juste
pre,01/10/14,AS,4,juste,faux,juste,juste,faux,faux,faux,faux,faux
pre,01/10/14,AS,3,juste,faux,juste,juste,juste,faux,faux,faux,faux
pre,01/10/14,IDE,0,juste,juste,faux,juste,juste,juste,faux,faux,faux
pre,01/10/14,IDE,4,juste,faux,juste,juste,faux,faux,juste,faux,faux
post,01/10/14,AS,4,faux,faux,juste,juste,juste,juste,juste,juste,juste
post,01/10/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/10/14,IDE,0,juste,faux,faux,juste,juste,juste,juste,juste,juste
post,01/10/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/10/14,AS,2,juste,juste,faux,juste,juste,juste,faux,juste,juste
post,01/10/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/10/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/10/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/10/14,AS,4,juste,faux,juste,juste,juste,juste,juste,juste,juste
post,01/10/14,AS,0,juste,faux,juste,juste,juste,juste,juste,juste,juste
post,01/10/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/10/14,IDE,2,juste,juste,juste,juste,juste,juste,juste,juste,juste
pre,01/04/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
pre,01/04/14,IDE,0,juste,faux,faux,juste,faux,faux,faux,juste,faux
pre,01/04/14,IDE,0,faux,faux,faux,juste,faux,faux,faux,faux,faux
pre,01/04/14,AS,5,juste,faux,juste,juste ,faux,faux,faux,faux,juste
pre,01/04/14,IDE,5,juste,faux,faux,faux,juste,faux,faux,faux,faux
pre,01/04/14,AS,4,faux,faux,faux,juste,juste,faux,faux,juste,faux
pre,01/04/14,IDE,0,juste,faux,juste,juste,juste,juste,faux,faux,juste
pre,01/04/14,AS,4,faux,faux,faux,juste,juste,faux,faux,faux,faux
pre,01/04/14,AS,0,juste,faux,faux,juste,faux,faux,juste,juste,juste
pre,01/04/14,AS,7,faux,faux,faux,juste,juste,faux,juste,faux,faux
post,01/04/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/04/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/04/14,IDE,0,faux,faux,juste,juste,juste,juste,juste,juste,juste
post,01/04/14,AS,4,juste,faux,juste,juste,faux,juste,juste,juste,juste
post,01/04/14,IDE,0,juste,faux,juste,faux,juste,juste,juste,juste,juste
post,01/04/14,AS,3,juste,faux,juste,juste,juste,juste,juste,juste,faux
post,01/04/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/04/14,AS,3,faux,juste,juste,juste,juste,juste,juste,juste,juste
post,01/04/14,AS,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/04/14,AS,0,faux,juste,faux,juste,juste,juste,juste,juste,juste
pre,01/12/14,IDE,0,juste,juste,juste,juste,juste,juste,faux,juste,juste
pre,01/12/14,IDE,0,juste,juste,juste,juste,faux,faux,faux,juste,juste
pre,01/12/14,IDE,0,faux,faux,juste,juste,juste,faux,juste,juste,juste
pre,01/12/14,IDE,0,faux,juste,juste,juste ,faux,faux,faux,faux,faux
pre,01/12/14,AS,3,faux,juste,faux,juste,juste,faux,faux,juste,faux
pre,01/12/14,AS,6,faux,faux,faux,juste,faux,faux,faux,juste,juste
pre,01/12/14,IDE,2,juste,juste,faux,juste,juste,faux,juste,faux,faux
pre,01/12/14,IDE,0,juste,juste,faux,juste,faux,faux,faux,juste,faux
post,01/12/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/12/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/12/14,IDE,2,juste,faux,juste,juste,juste,juste,juste,juste,juste
post,01/12/14,IDE,0,faux,juste,juste,juste ,juste,juste,juste,juste,juste
post,01/12/14,AS,0,juste,faux,juste,juste,juste,juste,juste,juste,juste
post,01/12/14,AS,2,juste,faux,juste,juste,juste,juste,juste,juste,juste
post,01/12/14,IDE,0,juste,faux,juste,juste,juste,juste,juste,juste,faux
post,01/12/14,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
pre,01/02/15,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
pre,01/02/15,IDE,2,juste,juste,juste,juste,faux,faux,faux,faux,faux
pre,01/02/15,IDE,0,juste,faux,juste,juste,faux,faux,faux,faux,juste
pre,01/02/15,IDE,0,faux,juste,juste,juste ,juste,faux,faux,juste,faux
pre,01/02/15,IDE,3,juste,juste,juste,juste,juste,juste,faux,juste,juste
pre,01/02/15,IDE,3,juste,juste,juste,juste,juste,juste,faux,juste,juste
pre,01/02/15,IDE,1,juste,juste,juste,juste,juste,faux,faux,faux,juste
pre,01/02/15,IDE,0,juste,faux,juste,juste,juste,juste,faux,juste,juste
pre,01/02/15,AS,4,juste,faux,juste,juste,faux,faux,faux,faux,faux
pre,01/02/15,IDE,7,juste,juste,juste,juste,faux,faux,faux,faux,juste
pre,01/02/15,IDE,4,juste,juste,faux,juste,faux,faux,juste,faux,faux
pre,01/02/15,AS,3,faux,juste,faux,juste,faux,faux,juste,faux,faux
pre,01/02/15,IDE,3,juste,faux,faux,juste,juste,faux,juste,faux,faux
post,01/02/15,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/02/15,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/02/15,IDE,0,faux,juste,faux,juste,juste,juste,juste,juste,juste
post,01/02/15,IDE,0,juste,juste,juste,juste ,juste,faux,juste,juste,juste
post,01/02/15,IDE,2,juste,juste,faux,juste,juste,faux,juste,juste,juste
post,01/02/15,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/02/15,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/02/15,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/02/15,AS,3,faux,faux,juste,juste,juste,faux,juste,juste,juste
post,01/02/15,IDE,0,juste,juste,juste,juste,juste,juste,juste,juste,juste
post,01/02/15,IDE,0,juste,juste,faux,juste,juste,juste,juste,juste,juste
post,01/02/15,AS,3,juste,juste,faux,juste,juste,juste,juste,juste,juste
post,01/02/15,IDE,2,juste,faux,juste,juste,juste,juste,juste,juste,juste
